bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
9b9591a4f7febe32,99506df1af6c8b3b,3,John Dodson,0,-1,0.0,-3.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b9591a4f7febe32,99506df1af6c8b3b,2,John Dodson,0,-1,0.0,-3.0,0,-4,0.0,-12.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b9591a4f7febe32,99506df1af6c8b3b,4,John Dodson,0,-1,0.0,-3.0,1,-3,3.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b9591a4f7febe32,99506df1af6c8b3b,1,John Dodson,0,-1,0.0,-3.0,0,-2,0.0,-6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b9591a4f7febe32,99506df1af6c8b3b,5,John Dodson,1,0,3.0,0.0,3,1,9.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9ba051e0f5674108,c482c8605455a213,1,Junior Albini,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-2,0.0,-8.256880733944953
9bc042a700d9a531,7d96bc577e5178b2,1,Gray Maynard,0,-2,0.0,-6.0,0,-5,0.0,-15.0,0,-1,0.0,-3.0,0,0,0.0,0.0,0,-3,0.0,-9.0
9bc042a700d9a531,7d96bc577e5178b2,2,Gray Maynard,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bc18b63b07bb328,ab943cd2c3c17825,1,Rogerio de Lima,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bd9a8127b55fbf7,d3df1add9d9a7efb,1,Derrick Lewis,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bd9a8127b55fbf7,d3df1add9d9a7efb,2,Derrick Lewis,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bd9a8127b55fbf7,d3df1add9d9a7efb,3,Derrick Lewis,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bec9d2d0dd1d7f7,5b5307450405abf0,3,Rick Story,1,1,3.0,3.0,1,-1,3.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9bec9d2d0dd1d7f7,5b5307450405abf0,2,Rick Story,1,1,3.0,3.0,1,-1,3.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9bec9d2d0dd1d7f7,5b5307450405abf0,1,Rick Story,0,0,0.0,0.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bfda7c26578aaac,8c0580d4fff106c1,1,Kelvin Gastelum,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bfda7c26578aaac,8c0580d4fff106c1,2,Kelvin Gastelum,0,0,0.0,0.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bfda7c26578aaac,8c0580d4fff106c1,3,Kelvin Gastelum,1,1,3.0,3.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9bfda7c26578aaac,8c0580d4fff106c1,5,Kelvin Gastelum,0,0,0.0,0.0,3,3,9.0,9.0,0,-2,0.0,-6.0,1,1,3.0,3.0,0,0,0.0,0.0
9bfda7c26578aaac,8c0580d4fff106c1,4,Kelvin Gastelum,0,0,0.0,0.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
