bout_id,fighter_id,round,fighter,ss_s,ss_s_pr_di,ss_s_p15m,ss_s_p15m_di,ss_a,ss_a_pr_di,ss_a_p15m,ss_a_p15m_di,ts_s,ts_s_pr_di,ts_s_p15m,ts_s_p15m_di,ts_a,ts_a_pr_di,ts_a_p15m,ts_a_p15m_di,kd,kd_pr_di,kd_p15m,kd_p15m_di
4a1f37200bc69376,817e0bdf08efce2e,1,Elvis Sinosic,2,-2,10.465116279069766,-10.465116279069766,5,-5,26.162790697674417,-26.162790697674417,21,-7,109.88372093023256,-36.627906976744185,24,-13,125.5813953488372,-68.0232558139535,0,0,0.0,0.0
75a401066ad784f6,ad3f53c454cbbead,1,Josh Barnett,20,3,60.0,9.0,58,21,174.0,63.0,22,1,66.0,3.0,60,19,180.0,57.0,0,0,0.0,0.0
75a401066ad784f6,ad3f53c454cbbead,2,Josh Barnett,19,5,65.51724137931035,17.241379310344826,43,-6,148.27586206896552,-20.689655172413808,19,5,65.51724137931035,17.241379310344826,43,-6,148.27586206896552,-20.689655172413808,0,-1,0.0,-3.4482758620689657
651da45cc83ce011,4604ab1de9058474,1,Mark Robinson,0,-20,0.0,-86.95652173913044,1,-22,4.3478260869565215,-95.65217391304348,1,-63,4.3478260869565215,-273.9130434782609,2,-65,8.695652173913043,-282.6086956521739,0,-1,0.0,-4.3478260869565215
a949b05c64e43131,1652f3213655b935,1,Phil Baroni,30,30,90.0,90.0,40,39,120.0,117.0,104,93,312.0,279.0,118,106,354.0,318.0,0,0,0.0,0.0
a949b05c64e43131,1652f3213655b935,2,Phil Baroni,9,7,27.0,21.0,14,12,42.0,36.0,106,76,318.0,228.0,112,82,336.0,246.0,0,0,0.0,0.0
bfb468c3427faa50,029880cdbf5ca089,1,Sean Sherk,7,6,21.0,18.0,8,7,24.0,21.0,82,76,246.0,228.0,87,81,261.0,243.0,0,0,0.0,0.0
bfb468c3427faa50,029880cdbf5ca089,2,Sean Sherk,5,5,15.679442508710801,15.679442508710801,8,2,25.087108013937282,6.2717770034843205,52,48,163.06620209059233,150.5226480836237,59,49,185.01742160278746,153.65853658536585,0,0,0.0,0.0
2783ccf179321171,1fe7adb23b3eedfb,1,Yuki Kondo,2,-14,16.071428571428573,-112.50000000000001,4,-18,32.142857142857146,-144.64285714285714,2,-29,16.071428571428573,-233.03571428571428,4,-36,32.142857142857146,-289.2857142857143,1,1,8.035714285714286,8.035714285714286
53a736ebc356cc4a,9f488f520ed25bbf,1,Kenichi Yamamoto,1,-10,3.0,-30.0,5,-14,15.0,-42.0,1,-22,3.0,-66.0,5,-26,15.0,-78.0,0,0,0.0,0.0
53a736ebc356cc4a,9f488f520ed25bbf,2,Kenichi Yamamoto,2,-3,15.254237288135595,-22.881355932203395,2,-7,15.254237288135595,-53.389830508474574,2,-6,15.254237288135595,-45.76271186440678,2,-10,15.254237288135595,-76.27118644067797,0,0,0.0,0.0
c39728802a8409ee,0e041d43a47d2e4b,1,Matt Lindland,17,17,85.95505617977528,85.95505617977528,26,25,131.46067415730337,126.40449438202248,39,39,197.19101123595505,197.19101123595505,52,51,262.92134831460675,257.86516853932585,0,0,0.0,0.0
5a4f6ff454b1eeb8,263ebd4a669e1e98,1,Fabiano Iha,8,8,50.0,50.0,12,10,75.0,62.5,16,15,100.0,93.75,20,17,125.0,106.25,0,0,0.0,0.0
019eca4a900ed793,63eedfcc73071d41,1,Lance Gibson,6,-26,18.120805369127517,-78.5234899328859,8,-32,24.161073825503355,-96.64429530201342,18,-29,54.36241610738254,-87.58389261744965,21,-34,63.422818791946305,-102.68456375838926,0,0,0.0,0.0
3c49bf20e4442a81,621a6c59f88a44fe,1,Matt Hughes,1,1,45.00000000000001,45.00000000000001,1,1,45.00000000000001,45.00000000000001,1,1,45.00000000000001,45.00000000000001,1,1,45.00000000000001,45.00000000000001,0,0,0.0,0.0
9ea4087371f7a892,a390eb8a9b2df298,1,Chuck Liddell,11,9,33.0,27.0,22,16,66.0,48.0,12,8,36.0,24.0,23,15,69.0,45.0,0,0,0.0,0.0
9ea4087371f7a892,a390eb8a9b2df298,2,Chuck Liddell,12,9,36.0,27.0,28,20,84.0,60.0,14,1,42.0,3.0,30,12,90.0,36.0,0,0,0.0,0.0
9ea4087371f7a892,a390eb8a9b2df298,3,Chuck Liddell,19,18,57.0,54.0,27,21,81.0,63.0,19,18,57.0,54.0,27,21,81.0,63.0,0,0,0.0,0.0
10cca6f437922b6c,0aa92558424ced9e,1,Randy Couture,0,-6,0.0,-18.0,2,-5,6.0,-15.0,4,-21,12.0,-63.0,6,-20,18.0,-60.0,0,0,0.0,0.0
10cca6f437922b6c,0aa92558424ced9e,2,Randy Couture,6,-1,18.0,-3.0,10,1,30.0,3.0,10,-10,30.0,-30.0,14,-8,42.0,-24.0,0,0,0.0,0.0
10cca6f437922b6c,0aa92558424ced9e,3,Randy Couture,22,20,78.26086956521738,71.14624505928852,29,26,103.16205533596836,92.49011857707508,57,55,202.76679841897231,195.65217391304347,65,62,231.22529644268772,220.55335968379444,0,0,0.0,0.0
40d31c37e00d6d0b,33e33d51f289d2a1,1,Maurice Smith,2,0,6.0,0.0,2,-4,6.0,-12.0,18,-7,54.0,-21.0,18,-14,54.0,-42.0,0,0,0.0,0.0
40d31c37e00d6d0b,33e33d51f289d2a1,2,Maurice Smith,2,-1,6.0,-3.0,6,0,18.0,0.0,29,4,87.0,12.0,33,0,99.0,0.0,0,0,0.0,0.0
40d31c37e00d6d0b,33e33d51f289d2a1,3,Maurice Smith,1,-1,3.0,-3.0,4,-1,12.0,-3.0,13,-5,39.0,-15.0,16,-8,48.0,-24.0,0,0,0.0,0.0
e4df2b73dff57d3a,ad3f53c454cbbead,1,Josh Barnett,1,-6,3.0,-18.0,1,-16,3.0,-48.0,7,-14,21.0,-42.0,9,-22,27.0,-66.0,0,0,0.0,0.0
e4df2b73dff57d3a,ad3f53c454cbbead,2,Josh Barnett,16,13,52.55474452554745,42.7007299270073,23,19,75.54744525547446,62.408759124087595,37,34,121.53284671532849,111.67883211678834,46,42,151.09489051094891,137.95620437956205,0,0,0.0,0.0
91cef206019c119e,3738e68d2261e60f,1,Andrei Arlovski,2,2,32.72727272727273,32.72727272727273,4,-1,65.45454545454545,-16.363636363636374,2,2,32.72727272727273,32.72727272727273,4,-1,65.45454545454545,-16.363636363636374,0,0,0.0,0.0
be8e34d585be9dc7,44260175069b6276,1,Jens Pulver,1,1,60.0,60.0,3,2,180.0,120.0,1,1,60.0,60.0,3,2,180.0,120.0,1,1,60.0,60.0
b85ce7371fb18305,d62bb4d84a7267ba,1,Mark Hughes,6,5,18.0,15.0,11,9,33.0,27.0,36,28,108.0,84.0,41,31,123.0,93.0,0,0,0.0,0.0
b85ce7371fb18305,d62bb4d84a7267ba,2,Mark Hughes,3,0,9.0,0.0,8,3,24.0,9.0,32,2,96.0,6.0,37,5,111.0,15.0,0,0,0.0,0.0
4aef975838bc19ec,91acd6910b802a9e,1,Chris Lytle,1,-2,3.0,-6.0,1,-4,3.0,-12.0,9,-21,27.0,-63.0,10,-23,30.0,-69.0,0,0,0.0,0.0
4aef975838bc19ec,91acd6910b802a9e,2,Chris Lytle,1,-1,3.0,-3.0,2,-2,6.0,-6.0,20,-14,60.0,-42.0,21,-17,63.0,-51.0,0,0,0.0,0.0
794ec0a93eca0492,b44f39a5c6596953,1,Pedro Rizzo,2,2,19.35483870967742,19.35483870967742,7,4,67.74193548387098,38.70967741935485,2,1,19.35483870967742,9.67741935483871,7,3,67.74193548387098,29.032258064516135,1,1,9.67741935483871,9.67741935483871
c5bec85a32462995,33e33d51f289d2a1,1,Maurice Smith,1,-4,3.0,-12.0,1,-14,3.0,-42.0,2,-12,6.0,-36.0,2,-26,6.0,-78.0,0,0,0.0,0.0
c5bec85a32462995,33e33d51f289d2a1,2,Maurice Smith,11,6,33.0,18.0,14,-10,42.0,-30.0,18,11,54.0,33.0,21,-11,63.0,-33.0,0,0,0.0,0.0
c5bec85a32462995,33e33d51f289d2a1,3,Maurice Smith,31,31,93.0,93.0,40,35,120.0,105.0,66,63,198.0,189.0,75,67,225.0,201.0,0,0,0.0,0.0
3ef7c2b26af8cf22,8d26912cd2aeb366,1,Jeremy Horn,2,0,6.617647058823529,0.0,6,-3,19.852941176470587,-9.926470588235293,23,12,76.1029411764706,39.70588235294118,29,11,95.95588235294117,36.39705882352941,0,0,0.0,0.0
0bec32c32da199ed,1c2f2571b18791b6,1,Laverne Clark,1,0,12.857142857142858,0.0,2,-1,25.714285714285715,-12.857142857142854,1,0,12.857142857142858,0.0,2,-1,25.714285714285715,-12.857142857142854,0,0,0.0,0.0
8a9a37d68cc428d6,1fe7adb23b3eedfb,1,Yuki Kondo,9,-4,27.0,-12.0,16,-19,48.0,-57.0,11,-6,33.0,-18.0,18,-21,54.0,-63.0,0,0,0.0,0.0
8a9a37d68cc428d6,1fe7adb23b3eedfb,2,Yuki Kondo,9,8,27.0,24.0,13,7,39.0,21.0,31,24,93.0,72.0,36,22,108.0,66.0,0,0,0.0,0.0
